,population,code_commune,lat,long,area,accident_num,length,ACCOTEMENT REVETU HORS CVCB,AMENAGEMENT MIXTES PIETON VELO HORS VOIE VERTE,AUTRE,BANDE CYCLABLE,CHAUSSEE A VOIE CENTRALE BANALISEE,COULOIR BUS+VELO,DOUBLE SENS CYCLABLE BANDE,DOUBLE SENS CYCLABLE NON MATERIALISE,DOUBLE SENS CYCLABLE PISTE,GOULOTTE,PISTE CYCLABLE,VELO RUE,VOIE VERTE
9956,309,54066,911591,6914314,445,0.0,1259.2472955745134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.2472955745134,0.0,0.0
9957,4268,68042,1037170,6732727,1503,0.0,18337.068961700177,0.0,1007.887024556509,3849.403334738197,309.64472880414803,0.0,0.0,0.0,0.0,0.0,0.0,13048.132506412156,0.0,122.00136718916708
9958,2312,67115,1033452,6809826,1359,0.0,9544.016649284466,0.0,0.0,5514.5209035614025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4029.495745723064,0.0,0.0
9959,1641,68020,1036674,6756854,2125,0.0,15346.68408962813,0.0,0.0,4906.0514887569625,2546.6148550315093,0.0,0.0,0.0,0.0,0.0,0.0,7894.017745839657,0.0,0.0
9960,419,68037,1025168,6771746,711,0.0,515.1895147324834,0.0,515.1895147324834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9961,5511,88367,969016,6811609,2069,0.0,1387.58226947842,0.0,1308.0546964319965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.52757304642363
9962,1579,54040,988400,6828773,2226,0.0,1561.1348570579871,0.0,567.5579605511957,993.5768965067916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9963,674,57129,936994,6902215,687,0.0,8064.030022555622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8064.030022555622,0.0,0.0
9964,17491,67043,1051988,6847743,438,1.0,26274.99863362694,0.0,315.40717465429645,0.0,3216.2885437921022,0.0,0.0,229.7271164101772,6340.9109952233575,0.0,0.0,14955.771449049902,0.0,1216.8933544971069
9965,366,54202,919925,6849637,549,0.0,5676.241638630765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5676.241638630765
